timestamp,dpid,entropy,n_flows,n_blocked,detection_flag,cpu_pct,mem_mb
2026-07-18T15:23:00.473187,1,0.0,0,0,0,0.0,46.54
2026-07-18T15:23:00.475131,4,0.0,0,0,0,0.0,46.54
2026-07-18T15:23:00.476728,3,0.0,0,0,0,0.0,46.54
2026-07-18T15:23:00.542724,2,0.0,0,0,0,45.5,46.54
2026-07-18T15:23:02.440547,2,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:02.440711,4,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:02.440817,1,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:02.440911,3,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:04.456703,1,0.0,0,0,0,0.5,46.55
2026-07-18T15:23:04.458843,3,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:04.458995,2,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:04.459087,4,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:06.461996,4,0.0,0,0,0,0.5,46.55
2026-07-18T15:23:06.462203,1,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:06.462844,2,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:06.463780,3,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:08.463825,1,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:08.465123,4,0.0,0,0,0,767.0,46.55
2026-07-18T15:23:08.465847,2,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:08.466047,3,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:10.473512,3,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:10.473836,1,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:10.474035,4,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:10.481108,2,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:12.471574,3,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:12.471731,1,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:12.471901,2,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:12.474355,4,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:14.527097,1,0.0,0,0,0,0.5,46.55
2026-07-18T15:23:14.527834,3,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:14.527974,2,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:14.528072,4,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:16.484277,1,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:16.485831,4,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:16.486238,3,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:16.486375,2,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:18.486804,1,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:18.488703,3,0.0,0,0,0,420.9,46.55
2026-07-18T15:23:18.488871,4,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:18.490338,2,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:20.487775,1,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:20.488641,4,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:20.489583,2,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:20.489771,3,0.0,0,0,0,0.0,46.55
2026-07-18T15:23:22.502982,2,0.0,0,0,0,1.0,46.56
2026-07-18T15:23:22.503800,3,0.0,0,0,0,0.0,46.56
2026-07-18T15:23:22.504176,1,0.0,0,0,0,0.0,46.56
2026-07-18T15:23:22.504774,4,0.0,0,0,0,0.0,46.56
2026-07-18T15:23:24.499369,1,0.0,0,0,0,0.0,46.56
2026-07-18T15:23:24.499635,4,0.0,0,0,0,0.0,46.56
2026-07-18T15:23:24.501002,2,0.0,0,0,0,0.0,46.56
2026-07-18T15:23:24.501616,3,0.0,0,0,0,0.0,46.56
2026-07-18T15:23:26.503470,4,0.0,0,0,0,0.0,46.56
2026-07-18T15:23:26.503786,1,0.0,0,0,0,0.0,46.56
2026-07-18T15:23:26.505957,3,0.0,0,0,0,477.6,46.56
2026-07-18T15:23:26.506123,2,0.0,0,0,0,0.0,46.56
